"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2093098752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1
2093099333,1,0,1,1,1,0,0,1,1,1,1,1,0,0,3,1,0,2,2
2093099465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
2093100307,1,9,8,0,0,0,0,0,1,0,0,1,9,0,2,8,8,8,3
2093100552,0,9,1,1,0,0,1,1,1,0,1,0,0,0,3,1,0,2,3
2093100803,1,NA,NA,NA,0,0,0,NA,9,1,0,NA,NA,NA,3,NA,0,2,NA
2093100960,1,NA,NA,NA,0,0,0,NA,0,0,0,1,NA,NA,3,NA,0,2,9
2093101362,0,NA,NA,NA,0,0,0,NA,1,0,0,9,NA,NA,2,NA,0,2,NA
2093102067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1
2093103951,1,1,0,1,1,0,1,1,1,1,1,1,1,1,3,0,0,2,2
2093104744,0,1,1,1,0,0,0,0,0,0,1,1,0,0,3,0,0,2,1
2093105147,1,1,0,0,0,0,1,1,1,1,1,0,0,0,3,0,1,1,2
2093105317,1,1,1,1,1,0,0,1,1,0,1,1,0,1,3,0,0,2,2
2093105392,1,1,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,2,2
2093105554,1,NA,1,1,0,0,0,0,1,0,1,0,9,1,2,1,0,2,3
2093105902,1,1,1,1,0,0,1,1,1,1,1,1,0,1,3,8,8,2,2
2093106089,1,NA,NA,NA,1,0,0,NA,0,0,0,0,NA,NA,1,NA,1,2,1
2093108031,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
2093109037,1,1,0,1,0,0,1,1,1,1,1,0,1,1,3,1,1,2,2
2093109321,1,1,1,1,1,1,0,0,1,0,0,0,0,1,3,1,0,2,1
2093109835,1,1,0,1,1,0,1,1,0,0,1,1,0,1,3,7,0,2,2
2093110027,0,NA,NA,9,0,1,0,NA,0,0,0,0,NA,0,1,1,0,1,1
2093110426,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,2,2
2093111627,1,1,0,0,0,0,0,1,1,1,1,0,1,0,3,0,1,2,1
2093111694,1,0,0,1,0,1,0,1,1,0,1,0,1,0,3,0,0,2,2
2093112046,0,NA,NA,NA,0,1,0,NA,1,0,0,0,NA,9,3,9,0,2,9
2093112810,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,2,1
2093114073,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,1
2093115801,0,1,0,1,1,1,0,1,1,0,0,0,1,0,3,0,1,2,1
2093116050,0,1,0,1,1,0,0,1,1,1,1,0,0,1,3,0,0,1,1
2093116815,1,1,1,0,0,0,1,1,1,0,1,1,1,1,3,0,1,2,3
2093118958,0,NA,1,0,0,0,0,0,0,1,1,0,9,0,2,0,0,2,3
